CONTENT-LOSS: AGENTS.md: heading '## 12. Self-update' present in d92cea0, absent from merge result
CONTENT-LOSS: bin/fm-afk-contract.sh: function 'fm_afk_contract_action' present in a45555d, absent from merge result
CONTENT-LOSS: bin/fm-afk-contract.sh: function 'fm_afk_contract_blank' present in a45555d, absent from merge result
CONTENT-LOSS: bin/fm-afk-contract.sh: function 'fm_afk_contract_clause_as_given' present in a45555d, absent from merge result
CONTENT-LOSS: bin/fm-afk-contract.sh: function 'fm_afk_contract_clause_check' present in a45555d, absent from merge result
CONTENT-LOSS: bin/fm-afk-contract.sh: function 'fm_afk_contract_cmd_confirm' present in a45555d, absent from merge result
CONTENT-LOSS: bin/fm-afk-contract.sh: function 'fm_afk_contract_cmd_propose' present in a45555d, absent from merge result
CONTENT-LOSS: bin/fm-afk-contract.sh: function 'fm_afk_contract_escape' present in a45555d, absent from merge result
CONTENT-LOSS: bin/fm-afk-contract.sh: function 'fm_afk_contract_grant_id_valid' present in a45555d, absent from merge result
CONTENT-LOSS: bin/fm-afk-contract.sh: function 'fm_afk_contract_lower' present in a45555d, absent from merge result
CONTENT-LOSS: bin/fm-afk-contract.sh: function 'fm_afk_contract_never_set_hit' present in a45555d, absent from merge result
CONTENT-LOSS: bin/fm-afk-contract.sh: function 'fm_afk_contract_proposal_path' present in a45555d, absent from merge result
CONTENT-LOSS: bin/fm-afk-contract.sh: function 'fm_afk_contract_read_grants' present in a45555d, absent from merge result
CONTENT-LOSS: bin/fm-afk-contract.sh: function 'fm_afk_contract_read_list' present in a45555d, absent from merge result
CONTENT-LOSS: bin/fm-afk-contract.sh: function 'fm_afk_contract_render_body' present in a45555d, absent from merge result
CONTENT-LOSS: bin/fm-afk-contract.sh: function 'fm_afk_contract_unescape' present in a45555d, absent from merge result
CONTENT-LOSS: bin/fm-afk-launch.sh: function 'fm_afk_launch_confirm' present in a45555d, absent from merge result
CONTENT-LOSS: bin/fm-afk-launch.sh: function 'fm_afk_launch_propose' present in a45555d, absent from merge result
CONTENT-LOSS: bin/fm-afk-return.sh: function 'render_mandate_record' present in a45555d, absent from merge result
CONTENT-LOSS: bin/fm-captain-hold.sh: function 'origin_open_decisions' present in a45555d, absent from merge result
CONTENT-LOSS: bin/fm-crew-state.sh: function 'log_last_line' present in a45555d, absent from merge result
CONTENT-LOSS: bin/fm-inbox.sh: function 'wake_for' present in a45555d, absent from merge result
CONTENT-LOSS: bin/fm-pr-merge.sh: function 'require_away_merge_grant' present in a45555d, absent from merge result
CONTENT-LOSS: bin/fm-x-lib.sh: function 'fmx_env_get' present in a45555d, absent from merge result
CONTENT-LOSS: docs/configuration.md: heading '## Pi Calm preference (config/calm)' present in a45555d, absent from merge result
CONTENT-LOSS: docs/pi-supervision-branch.md: heading '## Away mode' present in a45555d, absent from merge result
CONTENT-LOSS: docs/verification/process-event-sources.md: heading '## Why an empty board close is silent' present in a45555d, absent from merge result
CONTENT-LOSS: tests/fm-afk-contract.test.sh: function 'compile_accept' present in a45555d, absent from merge result
CONTENT-LOSS: tests/fm-afk-contract.test.sh: function 'compile_flagged' present in a45555d, absent from merge result
CONTENT-LOSS: tests/fm-afk-contract.test.sh: function 'compile_refusal' present in a45555d, absent from merge result
CONTENT-LOSS: tests/fm-afk-contract.test.sh: function 'compile_unflagged' present in a45555d, absent from merge result
CONTENT-LOSS: tests/fm-afk-contract.test.sh: function 'test_archive_drops_live_grants' present in a45555d, absent from merge result
CONTENT-LOSS: tests/fm-afk-contract.test.sh: function 'test_clause_fields_round_trip_reversible_whitespace' present in a45555d, absent from merge result
CONTENT-LOSS: tests/fm-afk-contract.test.sh: function 'test_clause_ids_are_input_ordinals_across_accepted_and_refused' present in a45555d, absent from merge result
CONTENT-LOSS: tests/fm-afk-contract.test.sh: function 'test_confirming_a_new_proposal_archives_the_standing_record' present in a45555d, absent from merge result
CONTENT-LOSS: tests/fm-afk-contract.test.sh: function 'test_confirm_requires_readback_and_refresh_is_a_no_op' present in a45555d, absent from merge result
CONTENT-LOSS: tests/fm-afk-contract.test.sh: function 'test_fields_record_the_captain_wording_verbatim' present in a45555d, absent from merge result
CONTENT-LOSS: tests/fm-afk-contract.test.sh: function 'test_fields_refuse_each_missing_part_by_name' present in a45555d, absent from merge result
CONTENT-LOSS: tests/fm-afk-contract.test.sh: function 'test_legacy_record_without_merge_grants_reads_empty' present in a45555d, absent from merge result
CONTENT-LOSS: tests/fm-afk-contract.test.sh: function 'test_malformed_merge_grants_refuse_validation' present in a45555d, absent from merge result
CONTENT-LOSS: tests/fm-afk-contract.test.sh: function 'test_merge_grants_empty_form_and_usage_errors' present in a45555d, absent from merge result
CONTENT-LOSS: tests/fm-afk-contract.test.sh: function 'test_merge_grants_round_trip_and_read_back' present in a45555d, absent from merge result
CONTENT-LOSS: tests/fm-afk-contract.test.sh: function 'test_never_set_flags_without_refusing_and_never_over_matches' present in a45555d, absent from merge result
CONTENT-LOSS: tests/fm-afk-contract.test.sh: function 'test_omitted_stop_confirms_as_no_stop' present in a45555d, absent from merge result
CONTENT-LOSS: tests/fm-afk-contract.test.sh: function 'test_propose_confirm_writes_the_record_and_announces_hold_for_return' present in a45555d, absent from merge result
CONTENT-LOSS: tests/fm-afk-contract.test.sh: function 'test_readback_renders_words_verbatim_and_both_lists' present in a45555d, absent from merge result
CONTENT-LOSS: tests/fm-afk-contract.test.sh: function 'test_validation_rejects_blank_decoded_clause_fields' present in a45555d, absent from merge result
CONTENT-LOSS: tests/fm-afk-contract.test.sh: function 'test_validation_rejects_blank_stop_and_refused_text' present in a45555d, absent from merge result
CONTENT-LOSS: tests/fm-afk-contract.test.sh: function 'test_validation_rejects_incomplete_clause_rows' present in a45555d, absent from merge result
CONTENT-LOSS: tests/fm-afk-launch.test.sh: function 'confirm_posture' present in a45555d, absent from merge result
CONTENT-LOSS: tests/fm-afk-launch.test.sh: function 'unit_daemon_entry_requires_confirmation' present in a45555d, absent from merge result
CONTENT-LOSS: tests/fm-afk-launch.test.sh: function 'unit_failed_daemon_launch_preserves_confirmed_record' present in a45555d, absent from merge result
CONTENT-LOSS: tests/fm-afk-launch.test.sh: function 'unit_propose_confirm_records_the_posture_without_a_daemon' present in a45555d, absent from merge result
CONTENT-LOSS: tests/fm-ci-workflow.test.sh: function 'test_measured_lanes_keep_their_existing_bounds' present in a45555d, absent from merge result
CONTENT-LOSS: tests/fm-ci-workflow.test.sh: function 'test_previously_unbounded_jobs_keep_their_caps' present in a45555d, absent from merge result
CONTENT-LOSS: tests/fm-control.test.sh: function 'test_missing_endpoint_refuses' present in a45555d, absent from merge result
CONTENT-LOSS: tests/fm-crew-state.test.sh: function 'test_ci_monitoring_green_then_rearm_stays_working' present in a45555d, absent from merge result
CONTENT-LOSS: tests/fm-crew-state.test.sh: function 'test_non_pipeline_owned_unresolvable_head_not_attributed' present in a45555d, absent from merge result
CONTENT-LOSS: tests/fm-crew-state.test.sh: function 'test_runs_list_live_row_outranks_newer_terminal_row' present in a45555d, absent from merge result
CONTENT-LOSS: tests/fm-crew-state.test.sh: function 'test_terminal_corpse_loses_to_live_run_on_same_branch' present in a45555d, absent from merge result
CONTENT-LOSS: tests/fm-crew-state.test.sh: function 'test_unanchored_unfetched_active_row_does_not_match' present in a45555d, absent from merge result
CONTENT-LOSS: tests/fm-crew-state.test.sh: function 'test_unfetched_live_sibling_outranks_terminal_row_at_exact_head' present in a45555d, absent from merge result
CONTENT-LOSS: tests/fm-pi-watch-extension.test.sh: function 'test_pi_replacement_persistence_failure_stops_arm_child' present in a45555d, absent from merge result
CONTENT-LOSS: tests/fm-pr-merge.test.sh: function 'test_a_grant_revoked_before_the_merge_refuses_it' present in a45555d, absent from merge result
CONTENT-LOSS: tests/fm-pr-merge.test.sh: function 'test_away_grant_and_yolo_and_hold_for_return' present in a45555d, absent from merge result
CONTENT-LOSS: tests/fm-pr-merge.test.sh: function 'test_away_grant_does_not_bypass_red_or_identity' present in a45555d, absent from merge result
CONTENT-LOSS: tests/fm-spawn-dispatch-profile.test.sh: function 'test_codex_omits_invalid_max_effort' present in a45555d, absent from merge result
CONTENT-LOSS: tests/fm-turnend-guard.test.sh: function 'hold_session_lock_from_foreign_harness' present in a45555d, absent from merge result
